Statistical profiling result from isolate-0x128008000-67216-v8.log, (8257 ticks, 6748 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%          /opt/homebrew/Cellar/node/21.6.2_1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
    212    2.6%    2.6%  JS: *deserializeObject /Users/richardwilding/code/cc-vf/node_modules/bson/lib/parser/deserializer.js:65:27
    126    1.5%    1.5%  Builtin: KeyedLoadIC_Megamorphic
    114    1.4%    1.4%  Builtin: LoadIC
     85    1.0%    1.0%  Builtin: LoadIC_Megamorphic
     70    0.8%    0.8%  Builtin: KeyedStoreIC_Megamorphic
     41    0.5%    0.5%  JS: *Document.get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:1836:34
     33    0.4%    0.4%  Builtin: ObjectPrototypeHasOwnProperty
     29    0.4%    0.4%  Builtin: GetProperty
     26    0.3%    0.3%  Builtin: KeyedHasIC_Megamorphic
     21    0.3%    0.3%  Builtin: StringAdd_CheckNone
     21    0.3%    0.3%  Builtin: BaselineOutOfLinePrologue
     20    0.2%    0.2%  JS: *applyDefaults /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/document/applyDefaults.js:3:40
     17    0.2%    0.2%  JS: *_init /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:740:17
     14    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     14    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
     14    0.2%    0.2%  Builtin: CallFunction_ReceiverIsAny
     13    0.2%    0.2%  Builtin: StoreIC
     13    0.2%    0.2%  Builtin: Call_ReceiverIsNotNullOrUndefined
     12    0.1%    0.1%  Builtin: RegExpPrototypeTestFast
     12    0.1%    0.1%  Builtin: LoadIC_NoFeedback
     11    0.1%    0.1%  JS: *Schema.path /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/schema.js:936:33
     11    0.1%    0.1%  JS: *Document /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/document.js:79:18
     11    0.1%    0.1%  Builtin: LoadICTrampoline_Megamorphic
     11    0.1%    0.1%  Builtin: KeyedLoadIC
     10    0.1%    0.1%  Builtin: StringIndexOf
     10    0.1%    0.1%  Builtin: KeyedStoreIC
     10    0.1%    0.1%  Builtin: BaselineLeaveFrame
      9    0.1%    0.1%  Builtin: SetDataProperties
      8    0.1%    0.1%  JS: *slice node:buffer:625:12
      8    0.1%    0.1%  JS: *get /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/helpers/document/compile.js:190:20
      8    0.1%    0.1%  Builtin: StrictEqual_Baseline
      8    0.1%    0.1%  Builtin: RegExpSplit
      8    0.1%    0.1%  Builtin: GetPropertyWithReceiver
      8    0.1%    0.1%  Builtin: Call_ReceiverIsAny
      7    0.1%    0.1%  RegExp: \.\d+$
      7    0.1%    0.1%  RegExp: \.\d+
      7    0.1%    0.1%  Builtin: RecordWriteSaveFP
      7    0.1%    0.1%  Builtin: LoadICTrampoline
      7    0.1%    0.1%  Builtin: KeyedLoadIC_PolymorphicName
      7    0.1%    0.1%  Builtin: FindOrderedHashMapEntry
      6    0.1%    0.1%  RegExp: ^[0-9a-fA-F]{24}$
      6    0.1%    0.1%  JS: *getEncodingOps node:buffer:710:24
      6    0.1%    0.1%  JS: *VirtualType.applyGetters /Users/richardwilding/code/cc-vf/node_modules/mongoose/lib/virtualtype.js:140:46
      6    0.1%    0.1%  Builtin: TypedArrayPrototypeByteLength
      6    0.1%    0.1%  Builtin: ToBooleanForBaselineJump
      6    0.1%    0.1%  Builtin: StringPrototypeSplit
      6    0.1%    0.1%  Builtin: CreateShallowObjectLiteral
      6    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
      5    0.1%    0.1%  JS: *resolve node:path:1095:10
      5    0.1%    0.1%  JS: *Module._nodeModulePaths node:internal/modules/cjs/loader:798:37
      5    0.1%    0.1%  Builtin: LoadICBaseline
      5    0.1%    0.1%  Builtin: KeyedHasIC
      5    0.1%    0.1%  Builtin: GrowFastSmiOrObjectElements
      5    0.1%    0.1%  Builtin: ConstructFunction
      5    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      5    0.1%    0.1%  Builtin: ArrayPrototypeJoin
      5    0.1%    0.1%  Builtin: ArrayMap
      5    0.1%    0.1%  Builtin: Add_Baseline
      4    0.0%    0.0%  RegExp: \.\d+\.
      4    0.0%    0.0%  RegExp: \.(\d+)\.|\.(\d+)$
      4    0.0%    0.0%  Builtin: LessThan_Baseline
